,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
54,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/original.png,voronoi_noise,24678,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
55,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/corrupted.png,voronoi_noise,24678,corrupted.png,none,none,2024-05-22_19-58,none,,15.809372901916504,0.1677710860967636
56,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,24678,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,15.571288108825684,0.21231579780578613
57,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,24678,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.419451713562012,0.17143654823303223
58,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/ode/non_clipped/200_0.0001_0.png,voronoi_noise,24678,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.591591835021973,0.1938454806804657
59,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/24678/ode/non_clipped/200_0.001_0.png,voronoi_noise,24678,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,15.381784439086914,0.19220678508281708
60,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/original.png,voronoi_noise,11087,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
61,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/corrupted.png,voronoi_noise,11087,corrupted.png,none,none,2024-05-22_19-58,none,,16.837995529174805,0.10558916628360748
62,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,11087,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,16.610898971557617,0.1729467511177063
63,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,11087,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.274354934692383,0.18597429990768433
64,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.0001_0.png,voronoi_noise,11087,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.48845672607422,0.16221675276756287
65,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/11087/ode/non_clipped/200_0.001_0.png,voronoi_noise,11087,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,15.741704940795898,0.19892588257789612
66,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/original.png,voronoi_noise,18191,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
67,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/corrupted.png,voronoi_noise,18191,corrupted.png,none,none,2024-05-22_19-58,none,,19.322900772094727,0.11426181346178055
68,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,18191,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,18.590055465698242,0.2758115231990814
